Customer_ID,Age,Age_Group,Gender,Marital_Status,Education_Level,Employment_Status,Annual_Income,Credit_Score,Annual_Income_Group,Credit_Score_Group,Number_of_Credit_Lines,Credit_Utilization_Ratio,Debt_To_Income_Ratio,Number_of_Late_Payments,Tenure_in_Years,Total_Transactions,Total_Transactions_Group,Defaulted,CLV,CLV_Group,Total_Transactions2,Avg_Transaction_Amount
CUST_00016,23,20 - 29,Female,Single,Bachelor,Unemployed,78856,648,Upper Middle Income,Fair,3,0.71,0.44,2,7,28,Very Low Activity,1,59804,Moderate Value,15,425.272
CUST_00017,42,40 - 49,Male,Single,Bachelor,Employed,75592,609,Upper Middle Income,Fair,9,0.44,0.52,2,21,111,Moderate Activity,0,38237,Low Value,26,528.109
CUST_00018,22,20 - 29,Female,Divorced,Bachelor,Employed,69899,685,Upper Middle Income,Good,7,0.63,0.4,2,19,43,Low Activity,1,36500,Low Value,20,574.641
CUST_00019,44,40 - 49,Female,Married,High School,Employed,50865,606,Middle Income,Fair,1,0.07,0.9,2,10,56,Low Activity,0,66289,Moderate Value,20,488.486
CUST_00020,64,60 -69,Male,Divorced,High School,Employed,84716,633,Upper Middle Income,Fair,4,0.59,0.71,0,2,76,Low Activity,1,30768,Low Value,19,427.796
CUST_00021,50,50 - 59,Male,Single,Master,Employed,59130,526,Middle Income,Poor,4,0.67,0.12,0,0,77,Low Activity,0,15502,Low Value,17,558.8
CUST_00022,58,50 - 59,Female,Single,PhD,Employed,67297,724,Upper Middle Income,Good,5,0.11,0.93,3,4,181,Very High Activity,0,104235,Very High Value,19,575.824
CUST_00023,22,20 - 29,Female,Single,High School,Employed,42822,630,Middle Income,Fair,7,0.68,0.05,2,17,101,Moderate Activity,1,31980,Low Value,22,508.688
CUST_00024,41,40 - 49,Female,Single,Bachelor,Employed,55294,640,Middle Income,Fair,5,0.47,0.6,1,9,113,Moderate Activity,1,22850,Low Value,20,484.708
CUST_00025,53,50 - 59,Male,Married,Bachelor,Employed,61013,658,Upper Middle Income,Fair,6,0.48,0.52,2,4,67,Low Activity,0,34185,Low Value,17,445.921
CUST_00026,32,30 - 39,Male,Single,Bachelor,Employed,46787,683,Middle Income,Good,9,0.72,0.07,2,17,131,High Activity,1,62228,Moderate Value,19,625.224
CUST_00027,42,40 - 49,Female,Married,Bachelor,Employed,50106,592,Middle Income,Fair,2,0.45,0.7,1,28,120,High Activity,0,23837,Low Value,25,540.63
CUST_00028,64,60 -69,Female,Single,Bachelor,Self-employed,68038,583,Upper Middle Income,Fair,6,0.23,0.96,2,26,179,Very High Activity,0,20995,Low Value,27,595.743
CUST_00029,45,40 - 49,Female,Married,Bachelor,Employed,75688,711,Upper Middle Income,Good,6,0.3,0.46,1,23,175,Very High Activity,0,110416,Very High Value,19,414.623
CUST_00030,69,60 -69,Female,Single,Master,Self-employed,38151,629,Middle Income,Fair,1,0.74,0.51,2,8,187,Very High Activity,0,7277,Very Low Value,20,462.237
CUST_00031,47,40 - 49,Female,Single,Bachelor,Employed,94441,672,High Income,Good,6,0.07,0.38,1,2,58,Low Activity,0,70151,High Value,20,593.189
CUST_00032,62,60 -69,Female,Married,Bachelor,Employed,47024,631,Middle Income,Fair,7,0.84,0.88,0,19,20,Very Low Activity,0,21128,Low Value,23,643.359
CUST_00033,48,40 - 49,Male,Single,Bachelor,Self-employed,44469,688,Middle Income,Good,7,0.58,0.93,2,11,193,Very High Activity,1,14287,Low Value,18,526.384
CUST_00034,36,30 - 39,Male,Married,Bachelor,Employed,82958,630,Upper Middle Income,Fair,3,0.73,0.4,1,13,128,High Activity,1,39234,Low Value,17,600.241
CUST_00035,35,30 - 39,Female,Married,Bachelor,Employed,70340,665,Upper Middle Income,Fair,8,0.34,0.89,0,0,138,High Activity,1,130148,Very High Value,17,384.421
CUST_00036,67,60 -69,Male,Married,Bachelor,Employed,74577,681,Upper Middle Income,Good,7,0.22,0.2,0,0,77,Low Activity,0,55844,Moderate Value,10,463.174
CUST_00037,64,60 -69,Male,Married,Bachelor,Unemployed,47333,664,Middle Income,Fair,4,0.8,0.46,2,0,55,Low Activity,0,77853,High Value,15,582.755
CUST_00038,23,20 - 29,Male,Married,Bachelor,Unemployed,66777,672,Upper Middle Income,Good,4,0.1,0.25,2,14,187,Very High Activity,0,19517,Low Value,15,522.599
CUST_00039,57,50 - 59,Male,Divorced,Bachelor,Unemployed,98344,648,High Income,Fair,7,0.17,0.22,0,23,41,Low Activity,0,58109,Moderate Value,25,509.418
CUST_00040,27,20 - 29,Female,Divorced,Bachelor,Self-employed,47198,580,Middle Income,Fair,2,0.28,0.86,1,26,14,Very Low Activity,0,22442,Low Value,19,313.659
CUST_00041,41,40 - 49,Female,Married,Master,Employed,70976,572,Upper Middle Income,Poor,5,0.35,0.71,2,0,198,Very High Activity,1,33342,Low Value,21,620.805
CUST_00042,29,20 - 29,Male,Married,Bachelor,Employed,48384,590,Middle Income,Fair,6,0.2,0.07,1,2,141,High Activity,0,54476,Moderate Value,10,341.163
CUST_00043,59,50 - 59,Male,Married,Bachelor,Self-employed,44332,614,Middle Income,Fair,4,0.91,0.76,1,29,58,Low Activity,1,28398,Low Value,14,500.31
CUST_00044,38,30 - 39,Female,Single,Master,Self-employed,56275,697,Middle Income,Good,1,0.03,0.57,1,21,52,Low Activity,0,16298,Low Value,19,578.945
CUST_00045,24,20 - 29,Male,Divorced,High School,Employed,59540,548,Middle Income,Poor,1,0.8,0.79,0,11,185,Very High Activity,1,70145,High Value,22,606.2
CUST_00046,45,40 - 49,Female,Married,High School,Self-employed,57465,673,Middle Income,Good,3,0.41,0.59,1,1,24,Very Low Activity,1,51797,Moderate Value,18,609.978
CUST_00047,34,30 - 39,Female,Single,Bachelor,Employed,58919,618,Middle Income,Fair,9,0.84,0.38,0,9,145,High Activity,1,36682,Low Value,19,501.765
CUST_00048,29,20 - 29,Male,Single,High School,Employed,93025,674,High Income,Good,2,0.8,0.49,2,26,170,Very High Activity,1,108504,Very High Value,20,537.413
CUST_00049,46,40 - 49,Female,Single,Bachelor,Employed,85616,728,Upper Middle Income,Good,5,0.12,0.14,1,3,123,High Activity,0,32807,Low Value,16,473.238
CUST_00050,22,20 - 29,Female,Single,High School,Employed,62619,659,Upper Middle Income,Fair,7,0.67,0.31,1,5,157,High Activity,0,16493,Low Value,22,565.235
CUST_00051,40,40 - 49,Male,Single,Master,Self-employed,61434,695,Upper Middle Income,Good,2,0.38,0.02,1,28,72,Low Activity,0,22624,Low Value,22,658.111
CUST_00052,48,40 - 49,Female,Married,Bachelor,Unemployed,81775,616,Upper Middle Income,Fair,1,0.82,0.41,2,7,82,Moderate Activity,0,49266,Moderate Value,13,465.115
CUST_00053,67,60 -69,Male,Single,Bachelor,Employed,71032,620,Upper Middle Income,Fair,7,0.85,0.09,0,28,53,Low Activity,1,12915,Low Value,27,572.321
CUST_00054,27,20 - 29,Male,Married,Bachelor,Self-employed,63996,707,Upper Middle Income,Good,5,0.19,0.66,0,13,25,Very Low Activity,1,90028,High Value,15,454.061
CUST_00055,64,60 -69,Female,Single,Bachelor,Employed,93697,755,High Income,Very Good,7,0.48,0.91,1,29,150,High Activity,1,72556,High Value,19,415.744
CUST_00056,28,20 - 29,Female,Single,High School,Employed,47059,690,Middle Income,Good,1,0.59,0.74,0,12,143,High Activity,0,55364,Moderate Value,21,734.978
CUST_00057,67,60 -69,Female,Married,Master,Employed,59802,559,Middle Income,Poor,6,0.54,0.21,1,3,125,High Activity,0,33544,Low Value,15,510.109
CUST_00058,55,50 - 59,Male,Married,High School,Unemployed,57942,596,Middle Income,Fair,6,0.25,0.51,3,14,165,Very High Activity,1,39489,Low Value,13,388.518
CUST_00059,34,30 - 39,Male,Married,High School,Employed,67029,631,Upper Middle Income,Fair,7,0.27,0.71,1,19,175,Very High Activity,1,90818,High Value,18,298.705
CUST_00060,37,30 - 39,Female,Married,High School,Employed,44146,671,Middle Income,Good,8,0.86,0.81,1,0,86,Moderate Activity,1,30557,Low Value,14,300.149
CUST_00061,56,50 - 59,Male,Married,High School,Employed,67077,620,Upper Middle Income,Fair,9,0.03,0.28,1,12,187,Very High Activity,1,83716,High Value,20,598.381
CUST_00062,60,60 -69,Female,Single,Master,Employed,55910,679,Middle Income,Good,5,0.26,0.48,3,29,84,Moderate Activity,1,12199,Low Value,25,391.545
CUST_00063,24,20 - 29,Female,Single,Bachelor,Employed,75545,596,Upper Middle Income,Fair,4,0.22,0.1,1,25,100,Moderate Activity,0,93576,High Value,20,660.483
CUST_00064,22,20 - 29,Female,Single,Bachelor,Employed,55313,700,Middle Income,Good,5,0.37,0.73,0,25,65,Low Activity,0,40124,Moderate Value,24,568.63
CUST_00065,26,20 - 29,Female,Married,PhD,Employed,51428,658,Middle Income,Fair,5,0.69,0.43,3,28,192,Very High Activity,1,30618,Low Value,19,615.701
CUST_00066,62,60 -69,Male,Married,High School,Employed,70361,684,Upper Middle Income,Good,9,0.53,0.04,1,21,163,Very High Activity,0,38852,Low Value,17,434.173
CUST_00067,24,20 - 29,Male,Married,Bachelor,Employed,61690,557,Upper Middle Income,Poor,7,0.54,0.53,1,26,39,Very Low Activity,0,58237,Moderate Value,24,604.801
CUST_00068,49,40 - 49,Male,Single,Master,Self-employed,56113,665,Middle Income,Fair,2,0.73,0.79,2,17,55,Low Activity,1,24017,Low Value,25,508.7
CUST_00069,38,30 - 39,Female,Married,Master,Employed,57055,612,Middle Income,Fair,2,0.81,0.04,3,3,61,Low Activity,1,94519,High Value,24,419.84
CUST_00070,46,40 - 49,Female,Single,High School,Employed,52760,650,Middle Income,Fair,1,0.16,0.4,0,13,128,High Activity,0,70238,High Value,34,452.228
CUST_00071,64,60 -69,Female,Single,Bachelor,Self-employed,90921,627,High Income,Fair,2,0.11,0.48,2,13,128,High Activity,0,106172,Very High Value,13,689.58
CUST_00072,54,50 - 59,Female,Single,High School,Employed,68238,611,Upper Middle Income,Fair,2,0.3,1,0,4,82,Moderate Activity,0,28419,Low Value,27,483.395
CUST_00073,30,30 - 39,Female,Married,Bachelor,Self-employed,71521,647,Upper Middle Income,Fair,5,0.83,0.22,1,1,85,Moderate Activity,1,97964,High Value,19,374.951
CUST_00074,56,50 - 59,Male,Single,Bachelor,Employed,67823,682,Upper Middle Income,Good,9,0.54,0.82,0,13,16,Very Low Activity,0,40801,Moderate Value,27,487
CUST_00075,34,30 - 39,Male,Married,Master,Employed,64228,719,Upper Middle Income,Good,7,0.14,0.15,2,15,102,Moderate Activity,0,17430,Low Value,17,575.05
CUST_00076,51,50 - 59,Male,Married,High School,Self-employed,53714,624,Middle Income,Fair,5,0.16,0.96,3,15,163,Very High Activity,0,24148,Low Value,21,635.943
CUST_00077,68,60 -69,Female,Single,High School,Employed,49631,703,Middle Income,Good,4,0.9,0.31,1,6,159,High Activity,0,18434,Low Value,21,425.798
CUST_00078,35,30 - 39,Male,Married,High School,Employed,53647,712,Middle Income,Good,6,0.37,0.15,2,8,36,Very Low Activity,0,25066,Low Value,16,430.576
CUST_00079,28,20 - 29,Female,Single,High School,Employed,69906,600,Upper Middle Income,Fair,4,0.26,0.38,0,8,68,Low Activity,0,124704,Very High Value,22,399.182
CUST_00080,34,30 - 39,Female,Single,High School,Employed,53514,664,Middle Income,Fair,7,0.69,0.02,0,6,182,Very High Activity,0,33455,Low Value,20,673.423
CUST_00081,43,40 - 49,Female,Single,PhD,Self-employed,79429,691,Upper Middle Income,Good,3,0.86,0.11,0,21,175,Very High Activity,1,53159,Moderate Value,21,503.348
CUST_00082,60,60 -69,Female,Divorced,Bachelor,Employed,85417,638,Upper Middle Income,Fair,8,0.44,0.5,2,11,20,Very Low Activity,0,85085,High Value,22,481.36
CUST_00083,41,40 - 49,Male,Married,High School,Self-employed,34052,646,Middle Income,Fair,8,0.79,0.94,1,2,31,Very Low Activity,0,48523,Moderate Value,25,453.275
CUST_00084,36,30 - 39,Male,Married,Bachelor,Employed,84034,676,Upper Middle Income,Good,3,0.43,0.44,1,15,105,Moderate Activity,1,36711,Low Value,16,488.212
CUST_00085,65,60 -69,Female,Single,Master,Employed,43359,649,Middle Income,Fair,7,0.69,0.66,0,8,21,Very Low Activity,0,13988,Low Value,20,312.456
CUST_00086,38,30 - 39,Male,Married,Master,Employed,56072,645,Middle Income,Fair,1,0.57,0.71,2,23,70,Low Activity,1,26036,Low Value,23,483.394
CUST_00087,67,60 -69,Male,Married,Master,Self-employed,62247,617,Upper Middle Income,Fair,5,0.89,0.04,1,13,197,Very High Activity,1,70050,High Value,19,426.864
CUST_00088,44,40 - 49,Female,Married,High School,Employed,28735,621,Low Income,Fair,9,0.33,0.32,0,29,155,High Activity,1,31261,Low Value,17,444.495
CUST_00089,46,40 - 49,Male,Divorced,Master,Self-employed,49707,617,Middle Income,Fair,2,0.77,1,1,21,146,High Activity,0,29751,Low Value,21,651.693
CUST_00090,45,40 - 49,Female,Single,Bachelor,Employed,62547,631,Upper Middle Income,Fair,3,0.68,0.01,2,10,46,Low Activity,1,86688,High Value,16,306.341
CUST_00091,65,60 -69,Female,Married,Bachelor,Self-employed,41686,646,Middle Income,Fair,4,0.84,0.47,1,2,27,Very Low Activity,1,15533,Low Value,29,590.761
CUST_00092,61,60 -69,Male,Married,PhD,Employed,41046,620,Middle Income,Fair,2,0.61,0.84,1,0,67,Low Activity,0,34766,Low Value,27,547.106
CUST_00093,49,40 - 49,Male,Married,Master,Employed,87826,605,Upper Middle Income,Fair,6,0.46,0.29,0,25,39,Very Low Activity,0,45193,Moderate Value,15,435.857
CUST_00094,35,30 - 39,Male,Married,Master,Employed,61996,606,Upper Middle Income,Fair,5,0.05,1,0,5,23,Very Low Activity,0,65432,Moderate Value,20,365.898
CUST_00095,65,60 -69,Female,Single,High School,Self-employed,75169,649,Upper Middle Income,Fair,5,0.84,0.49,0,18,42,Low Activity,0,71473,High Value,14,526.853
CUST_00096,21,20 - 29,Male,Single,Bachelor,Employed,88939,573,Upper Middle Income,Poor,8,0.91,0.91,2,17,82,Moderate Activity,1,41907,Moderate Value,25,485.912
CUST_00097,45,40 - 49,Female,Single,PhD,Employed,72199,692,Upper Middle Income,Good,6,0.45,0.53,0,4,59,Low Activity,0,48754,Moderate Value,20,542.468
CUST_00098,27,20 - 29,Male,Married,Bachelor,Self-employed,52494,712,Middle Income,Good,1,0.22,0.4,0,20,153,High Activity,0,52401,Moderate Value,25,394.629
CUST_00099,29,20 - 29,Male,Divorced,High School,Employed,51084,713,Middle Income,Good,1,0.65,0.71,2,2,144,High Activity,0,29324,Low Value,27,554.254
CUST_00100,44,40 - 49,Male,Married,Master,Employed,68039,633,Upper Middle Income,Fair,5,0.12,0.96,0,7,136,High Activity,0,78181,High Value,19,443.061
CUST_00101,21,20 - 29,Male,Married,High School,Employed,70439,623,Upper Middle Income,Fair,3,0.04,0.38,2,24,126,High Activity,1,60084,Moderate Value,26,558.755
CUST_00102,64,60 -69,Male,Married,Master,Employed,63982,620,Upper Middle Income,Fair,8,0.29,0.86,3,19,196,Very High Activity,1,43331,Moderate Value,21,576.751
CUST_00103,28,20 - 29,Female,Married,Master,Employed,71552,600,Upper Middle Income,Fair,2,0.68,0.66,2,8,76,Low Activity,1,13119,Low Value,16,486.27
CUST_00104,44,40 - 49,Female,Single,Bachelor,Employed,58248,684,Middle Income,Good,5,0.81,0.38,0,17,143,High Activity,0,11869,Low Value,17,432.382
CUST_00105,31,30 - 39,Male,Married,Bachelor,Employed,60214,553,Upper Middle Income,Poor,6,0.16,0.06,1,25,12,Very Low Activity,0,27291,Low Value,27,582.243
CUST_00106,37,30 - 39,Male,Married,Bachelor,Employed,53686,623,Middle Income,Fair,3,0.95,0.31,0,19,24,Very Low Activity,1,35901,Low Value,19,602.507
CUST_00107,28,20 - 29,Female,Married,Master,Employed,47015,620,Middle Income,Fair,8,0.55,0.83,1,2,62,Low Activity,0,11768,Low Value,26,530.09
CUST_00108,55,50 - 59,Female,Single,Bachelor,Employed,46694,627,Middle Income,Fair,8,0.93,0.1,1,6,195,Very High Activity,0,25344,Low Value,26,509.721
CUST_00109,55,50 - 59,Male,Married,Bachelor,Employed,54480,621,Middle Income,Fair,6,0.15,0.57,1,20,115,Moderate Activity,0,18430,Low Value,24,425.808
CUST_00110,53,50 - 59,Female,Married,Bachelor,Employed,71054,657,Upper Middle Income,Fair,9,0.46,0.51,3,18,60,Low Activity,1,25120,Low Value,27,466.942
CUST_00111,25,20 - 29,Male,Married,Bachelor,Employed,60524,680,Upper Middle Income,Good,3,0.43,0.66,0,7,191,Very High Activity,1,19471,Low Value,14,684.906
CUST_00112,62,60 -69,Female,Married,Bachelor,Self-employed,53705,665,Middle Income,Fair,3,0.41,0.94,0,19,32,Very Low Activity,0,55037,Moderate Value,31,513.027
CUST_00113,59,50 - 59,Male,Married,Master,Self-employed,56115,600,Middle Income,Fair,8,0.93,0.75,0,2,34,Very Low Activity,1,27176,Low Value,25,470.456
CUST_00114,61,60 -69,Male,Married,PhD,Self-employed,32781,561,Middle Income,Poor,4,0.85,0.51,0,6,116,Moderate Activity,1,29219,Low Value,20,443.886
CUST_00115,48,40 - 49,Female,Single,High School,Employed,52028,736,Middle Income,Good,1,0.79,0.83,1,8,106,Moderate Activity,1,15415,Low Value,17,502.595
CUST_00116,27,20 - 29,Male,Married,High School,Employed,71399,697,Upper Middle Income,Good,8,0.29,0.7,1,24,13,Very Low Activity,0,79280,High Value,12,644.844
CUST_00117,29,20 - 29,Female,Married,Bachelor,Employed,42669,744,Middle Income,Very Good,8,0.34,0.9,1,19,191,Very High Activity,1,25876,Low Value,16,579.941
CUST_00118,28,20 - 29,Male,Married,Bachelor,Unemployed,36546,672,Middle Income,Good,5,0.26,0.72,1,8,54,Low Activity,0,64620,Moderate Value,16,431.134
CUST_00119,32,30 - 39,Female,Married,Bachelor,Self-employed,41593,720,Middle Income,Good,2,0.79,0.75,2,8,170,Very High Activity,1,12898,Low Value,20,403.334
CUST_00120,54,50 - 59,Female,Married,PhD,Employed,52606,560,Middle Income,Poor,7,0.39,0.08,1,14,170,Very High Activity,0,36567,Low Value,14,487.875
CUST_00121,53,50 - 59,Male,Married,High School,Employed,59056,583,Middle Income,Fair,4,0.98,0,1,29,113,Moderate Activity,1,28227,Low Value,16,421.901
CUST_00122,68,60 -69,Female,Married,High School,Self-employed,63480,618,Upper Middle Income,Fair,8,0.36,0.96,1,15,33,Very Low Activity,1,30621,Low Value,19,535.816
CUST_00123,43,40 - 49,Female,Married,High School,Employed,70571,656,Upper Middle Income,Fair,6,0.17,0.25,3,20,105,Moderate Activity,0,31274,Low Value,26,709.685
CUST_00124,44,40 - 49,Female,Married,Master,Unemployed,56334,615,Middle Income,Fair,7,0.93,0.17,3,3,54,Low Activity,1,24918,Low Value,21,298.268
CUST_00125,57,50 - 59,Female,Divorced,High School,Employed,70937,700,Upper Middle Income,Good,2,0.78,0.16,0,22,65,Low Activity,0,38032,Low Value,19,832.578
CUST_00126,55,50 - 59,Female,Married,Bachelor,Employed,42085,696,Middle Income,Good,5,0.58,0.74,1,17,54,Low Activity,0,47062,Moderate Value,27,396.879
CUST_00127,64,60 -69,Male,Single,Bachelor,Employed,78028,698,Upper Middle Income,Good,4,0.86,0.05,1,18,164,Very High Activity,0,75553,High Value,22,491.431
CUST_00128,60,60 -69,Male,Married,Bachelor,Employed,65388,683,Upper Middle Income,Good,3,0.95,0.66,2,29,185,Very High Activity,1,33248,Low Value,11,540.205
CUST_00129,42,40 - 49,Female,Married,High School,Employed,29895,665,Low Income,Fair,7,0.86,0.57,1,14,166,Very High Activity,1,18068,Low Value,13,449.386
CUST_00130,47,40 - 49,Female,Divorced,Bachelor,Employed,61613,732,Upper Middle Income,Good,1,0.9,0.15,2,17,50,Low Activity,0,36101,Low Value,17,416.172
CUST_00131,55,50 - 59,Male,Married,Bachelor,Employed,94761,739,High Income,Good,6,0.27,0.14,0,9,39,Very Low Activity,0,70805,High Value,30,460.157
CUST_00132,21,20 - 29,Female,Single,PhD,Employed,90756,637,High Income,Fair,3,0.51,0.13,1,12,97,Moderate Activity,0,43922,Moderate Value,21,552.96
CUST_00133,55,50 - 59,Female,Single,Master,Unemployed,59729,606,Middle Income,Fair,7,0.8,0.26,0,4,190,Very High Activity,1,45876,Moderate Value,17,444.084
CUST_00134,57,50 - 59,Male,Married,Bachelor,Employed,68962,710,Upper Middle Income,Good,9,0.53,0.64,2,24,75,Low Activity,1,71028,High Value,23,473.251
CUST_00135,67,60 -69,Male,Married,PhD,Employed,43331,743,Middle Income,Very Good,3,0.64,0.21,1,25,107,Moderate Activity,1,13363,Low Value,17,477.468
CUST_00136,34,30 - 39,Female,Married,High School,Employed,40829,774,Middle Income,Very Good,1,0.92,0.66,0,19,139,High Activity,1,35692,Low Value,20,363.507
CUST_00137,23,20 - 29,Male,Single,Master,Employed,57162,681,Middle Income,Good,3,0.3,0.97,0,26,131,High Activity,0,27548,Low Value,20,539.239
CUST_00138,21,20 - 29,Female,Married,Bachelor,Self-employed,52686,641,Middle Income,Fair,9,0.54,0.86,3,16,149,High Activity,0,21537,Low Value,19,508.531
CUST_00139,25,20 - 29,Female,Married,Bachelor,Employed,62226,593,Upper Middle Income,Fair,4,0.56,0.8,1,11,16,Very Low Activity,0,67856,Moderate Value,25,527.563
CUST_00140,46,40 - 49,Male,Single,High School,Employed,69434,646,Upper Middle Income,Fair,3,0.36,0.95,2,16,60,Low Activity,0,7813,Very Low Value,17,450.082
CUST_00141,34,30 - 39,Male,Single,Bachelor,Employed,68875,604,Upper Middle Income,Fair,7,0.37,0.61,1,22,68,Low Activity,1,92931,High Value,30,737.003
CUST_00142,59,50 - 59,Male,Single,High School,Employed,75300,595,Upper Middle Income,Fair,7,0.77,0.77,3,3,41,Low Activity,1,53617,Moderate Value,18,342.491
CUST_00143,47,40 - 49,Male,Single,Bachelor,Employed,67605,698,Upper Middle Income,Good,4,0.93,0.77,0,16,190,Very High Activity,0,22791,Low Value,20,367.672
CUST_00144,29,20 - 29,Female,Single,High School,Employed,76923,626,Upper Middle Income,Fair,9,0.63,0.97,0,2,173,Very High Activity,0,54501,Moderate Value,22,491.176
CUST_00145,35,30 - 39,Male,Single,Master,Employed,75432,648,Upper Middle Income,Fair,9,0.49,0.65,1,3,191,Very High Activity,0,21050,Low Value,15,678.863
CUST_00146,35,30 - 39,Female,Married,Bachelor,Self-employed,57117,729,Middle Income,Good,2,0.75,0.27,3,16,188,Very High Activity,1,12681,Low Value,19,500.69
CUST_00147,46,40 - 49,Male,Single,Master,Self-employed,29301,545,Low Income,Poor,7,1,0.2,1,10,86,Moderate Activity,1,13085,Low Value,21,498.15
CUST_00148,62,60 -69,Male,Single,Master,Employed,41681,602,Middle Income,Fair,8,0.08,0.31,1,14,21,Very Low Activity,0,23620,Low Value,18,477.376
CUST_00149,33,30 - 39,Male,Single,High School,Self-employed,68836,690,Upper Middle Income,Good,8,0.65,0.76,4,22,12,Very Low Activity,0,89848,High Value,19,499.851
CUST_00150,52,50 - 59,Male,Married,High School,Employed,62509,625,Upper Middle Income,Fair,1,0.56,0.66,4,13,93,Moderate Activity,1,13411,Low Value,25,471.014
CUST_00151,59,50 - 59,Male,Married,Bachelor,Employed,90649,623,High Income,Fair,2,0.61,0.22,0,26,82,Moderate Activity,1,135042,Very High Value,18,400.756
CUST_00152,69,60 -69,Male,Single,PhD,Employed,36363,666,Middle Income,Fair,8,0.02,0.86,0,10,147,High Activity,0,16959,Low Value,21,511.968
CUST_00153,52,50 - 59,Female,Married,Bachelor,Employed,73378,641,Upper Middle Income,Fair,7,0.96,0.98,2,15,117,Moderate Activity,1,22326,Low Value,21,615.614
CUST_00154,24,20 - 29,Female,Married,Master,Employed,59749,551,Middle Income,Poor,7,0.09,0.76,1,24,69,Low Activity,0,17957,Low Value,21,553.843
CUST_00155,50,50 - 59,Male,Single,Master,Self-employed,47917,618,Middle Income,Fair,1,0.31,0.06,0,3,129,High Activity,1,42999,Moderate Value,18,467.678
CUST_00156,57,50 - 59,Male,Married,PhD,Employed,86557,574,Upper Middle Income,Poor,2,0.3,0.63,1,4,123,High Activity,1,122580,Very High Value,22,554.98
CUST_00157,43,40 - 49,Male,Married,Bachelor,Employed,43592,693,Middle Income,Good,2,0.73,0.94,2,12,123,High Activity,0,25075,Low Value,15,410.578
CUST_00158,59,50 - 59,Male,Single,Bachelor,Unemployed,65099,580,Upper Middle Income,Fair,3,0.67,0.31,2,23,75,Low Activity,0,27192,Low Value,17,462.801
CUST_00159,65,60 -69,Male,Married,Master,Employed,78740,580,Upper Middle Income,Fair,3,0.06,0.59,0,11,98,Moderate Activity,0,59419,Moderate Value,21,490.243
CUST_00160,35,30 - 39,Male,Married,Master,Employed,47458,587,Middle Income,Fair,3,0.15,0.23,0,18,61,Low Activity,0,18911,Low Value,22,380.501
